"Dados_demograficos:DATE2","Dados_demograficos:codigo_paciente","Dados_demograficos:coordenadas_IDS:Latitude","Dados_demograficos:coordenadas_IDS:Longitude","WHOTA:coordenadas_IDS:Altitude","WHOTA:coordenadas_IDS:Accuracy","local_colheita:provincia_colheita","WHOTA:dist_colheita","WHOTA:LO_COLHEITA","WHOTA:ptdcol","WHOTA:tipmast","WHOTA:teccol","WHOTA:tembie","WHOTA:temag","WHOTA:humreab","WHOTA:ph","WHOTA:Turbidez","WHOTA:condelec","WHOTA:conamon","WHOTA:conortf","WHOTA:oxigenio","WHOTA:descfras","WHOTA:consdtr","WHOTA:nota12","WHOTA:SARS_COV_2","WHOTA:Influenza","WHOTA:Poliovirus","WHOTA:Colera","WHOTA:Febre_tifoide","WHOTA:Outros","WHOTA:Outros_other","WHOTA:TEC_RES_COLHEITA","WHOTA:Observacao","meta:instanceID"
"03/18/2025","IDSW100001",-25.9189897,32.5389447,26.8,1.74,"Maputo Cidade","kamubukwana","ETAR","Cam_Cistern_CC","Aguas_residuais","Torpidos","24.7",40,67,NA,NA,NA,NA,NA,NA,"Sim","Sim",NA,"Sim","Sim","","","","",NA,"Diocreciano Inoc̻ncio",NA,"uuid:d47040fa-6ec5-4fd2-932a-41f82ac29084"
"03/18/2025","IDSW100002",-25.9190583,32.5388917,-4.4,3.9,"Maputo Cidade","kamubukwana","ETAR","Cam_Cistern_CC","Aguas_residuais","Moore_swab","24.7",40,67,NA,NA,NA,NA,NA,NA,"Sim","Sim",NA,"Sim","Sim","","","","",NA,"Diocreciano Inoc̻ncio",NA,"uuid:9f15f10c-4de0-46a6-a1bd-548e05b850ba"
"03/18/2025","IDSW100003",-25.9189365,32.5388787,2.1,4.45,"Maputo Cidade","kamubukwana","ETAR","Cam_Cistern_CC","Aguas_residuais","Grag_sample","24.7",40,67,NA,NA,NA,NA,NA,NA,"Sim","Sim",NA,"Sim","Sim","","","","",NA,"Diocreciano Inoc̻ncio",NA,"uuid:07d0b960-f33e-4357-9fe4-9c0a0a13e1a6"
"03/18/2025","IDSW100004",-25.9184,32.539085,2.8,5,"Maputo Cidade","kamubukwana","ETAR","Entrada_ETAR","Aguas_residuais","Grag_sample","24.7",40,67,NA,NA,NA,NA,NA,NA,"Sim","Sim",NA,"Sim","Sim","","","","",NA,"",NA,"uuid:20d3e33d-4e8b-41bb-ae5c-f6e141e787ea"
"03/18/2025","IDSW100005",-25.9186717,32.5388367,3.5,4.9,"Maputo Cidade","kamubukwana","ETAR","Entrada_ETAR","Aguas_residuais","Moore_swab","24.7",40,67,NA,NA,NA,NA,NA,NA,"Sim","Sim",NA,"Sim","Sim","","","","",NA,"Diocreciano Inoc̻ncio",NA,"uuid:1b141ce2-66b5-4c5d-a383-57aba6722cfe"
"03/18/2025","IDSW100006",-25.9184958,32.539223,3.5,3.75,"Maputo Cidade","kamubukwana","ETAR","Entrada_ETAR","Aguas_residuais","Torpidos","24.7",40,67,NA,NA,NA,NA,NA,NA,"Sim","Sim",NA,"Sim","Sim","","","","",NA,"Diocreciano Inoc̻ncio",NA,"uuid:7d5a37e5-c8c1-43bd-baee-bdfc0dbaf05a"
"03/18/2025","IDSW100007",-25.917707,32.5382868,25.7000007629,3.1,"Maputo Cidade","kamubukwana","ETAR","Vala_esgoto_VE","Aguas_residuais","Torpidos","24.7",40,67,NA,NA,NA,NA,NA,NA,"Sim","Sim",NA,"Sim","Sim","","","","",NA,"Diocreciano Inoc̻ncio",NA,"uuid:0770a8a6-8c2c-4b8e-8474-228a91bc1532"
"03/18/2025","IDSW100008",-25.9177073,32.5383303,25.7000007629,3.642,"Maputo Cidade","kamubukwana","ETAR","Vala_esgoto_VE","Aguas_residuais","Moore_swab","24.7",40,67,NA,NA,NA,NA,NA,NA,"Sim","Sim",NA,"Sim","Sim","","","","",NA,"Diocreciano Inoc̻ncio",NA,"uuid:6db16d74-7f65-4a03-b32d-1806b281ec53"
"03/18/2025","IDSW100009",-25.9177331,32.5383052,25.7000007629,2.5,"Maputo Cidade","kamubukwana","ETAR","Vala_esgoto_VE","Aguas_residuais","Grag_sample","24.7",40,67,NA,NA,NA,NA,NA,NA,"Sim","Sim",NA,"Sim","Sim","","","","",NA,"Diocreciano Inoc̻ncio",NA,"uuid:5f4da18f-bd57-4696-a3d4-cd4865352131"
"03/25/2025","IDSW100010",-25.9189918,32.5389136,26.4,4.2,"Maputo Cidade","kamubukwana","ETAR","Cam_Cistern_CC","Aguas_residuais","Torpidos","20.1",40,17,NA,NA,NA,NA,NA,NA,"Sim","Sim",NA,"Sim","Sim","","","","",NA,"Diocreciano Inoc̻ncio",NA,"uuid:8d0b0cc3-98e8-473a-9631-282ebd615e77"
"03/25/2025","IDSW100011",-25.9189974,32.5388759,13.6,4.9,"Maputo Cidade","kamubukwana","ETAR","Cam_Cistern_CC","Aguas_residuais","Moore_swab","20.1",40,17,NA,NA,NA,NA,NA,NA,"Sim","Sim",NA,"Sim","Sim","","","Sim","",NA,"Diocreciano Inoc̻ncio",NA,"uuid:6c7161f0-f2ce-46b8-978f-ee20471036da"
"03/25/2025","IDSW100012",-25.9189833,32.5389117,26.9,4.4,"Maputo Cidade","kamubukwana","ETAR","Cam_Cistern_CC","Aguas_residuais","Grag_sample","20.1",40,17,NA,NA,NA,NA,NA,NA,"Sim","Sim",NA,"Sim","Sim","","","Sim","",NA,"Diocreciano Inoc̻ncio",NA,"uuid:a5c6ccdb-4765-4c41-b1c2-c56e38d2a163"
